(254, 117), (394, 119), (253, 170), (314, 182), (342, 184), (402, 172), (232, 267), (324, 263), (407, 269), (269, 317), (324, 316), (382, 316), (321, 362), (324, 399)
(254, 118), (393, 121), (254, 172), (313, 183), (341, 184), (401, 173), (234, 268), (323, 264), (407, 270), (268, 316), (325, 319), (380, 317), (321, 363), (323, 402)
(255, 117), (395, 121), (255, 172), (315, 184), (341, 186), (402, 171), (232, 268), (323, 263), (406, 267), (268, 316), (324, 317), (380, 316), (320, 361), (324, 401)
(254, 118), (395, 121), (254, 171), (312, 185), (342, 184), (401, 173), (234, 269), (324, 265), (406, 269), (270, 317), (323, 318), (380, 315), (323, 363), (325, 402)
(254, 119), (393, 121), (254, 172), (313, 186), (344, 186), (401, 172), (233, 268), (321, 264), (406, 268), (270, 317), (323, 317), (380, 316), (322, 363), (324, 400)
(252, 119), (395, 123), (254, 170), (313, 185), (345, 186), (400, 171), (232, 268), (325, 266), (407, 269), (266, 317), (324, 321), (379, 316), (322, 363), (324, 404)
(253, 119), (394, 120), (254, 171), (308, 185), (341, 185), (400, 173), (231, 268), (323, 264), (405, 269), (270, 315), (322, 318), (379, 317), (320, 363), (325, 402)
(251, 119), (393, 121), (254, 174), (311, 187), (341, 186), (399, 171), (232, 268), (323, 267), (406, 269), (268, 318), (323, 320), (382, 316), (322, 366), (321, 402)
(252, 118), (392, 121), (253, 172), (313, 185), (342, 186), (401, 173), (232, 268), (324, 266), (407, 267), (268, 316), (322, 319), (379, 314), (322, 362), (323, 402)
(252, 120), (392, 121), (252, 171), (310, 185), (339, 185), (401, 172), (231, 266), (321, 266), (407, 269), (265, 318), (321, 320), (382, 313), (321, 364), (322, 402)
(252, 120), (390, 118), (252, 170), (312, 184), (343, 187), (400, 171), (232, 268), (322, 267), (407, 267), (269, 315), (322, 318), (377, 312), (319, 361), (322, 397)
(251, 117), (393, 121), (251, 172), (311, 185), (339, 184), (402, 172), (231, 267), (322, 265), (408, 271), (268, 315), (324, 319), (379, 311), (323, 363), (320, 402)
(251, 118), (392, 122), (252, 170), (311, 184), (340, 183), (401, 170), (231, 268), (322, 265), (406, 268), (266, 314), (322, 320), (379, 310), (323, 361), (325, 401)
(252, 115), (395, 120), (254, 170), (311, 183), (340, 185), (399, 171), (232, 266), (321, 263), (407, 268), (265, 316), (322, 320), (381, 313), (322, 362), (324, 399)
(252, 117), (394, 120), (252, 171), (310, 184), (339, 183), (398, 170), (232, 263), (320, 264), (405, 268), (264, 313), (322, 315), (378, 312), (324, 363), (323, 406)
(251, 116), (392, 116), (254, 167), (311, 181), (340, 183), (400, 170), (232, 267), (322, 263), (410, 264), (264, 315), (320, 316), (382, 309), (319, 362), (320, 398)
(253, 115), (395, 119), (252, 167), (312, 179), (339, 181), (396, 170), (230, 265), (322, 261), (408, 266), (267, 314), (325, 317), (381, 310), (319, 356), (325, 398)
(252, 116), (393, 116), (253, 166), (307, 182), (342, 184), (397, 169), (232, 265), (324, 262), (407, 263), (269, 312), (323, 316), (380, 307), (323, 355), (326, 394)
(251, 114), (394, 118), (253, 166), (311, 177), (345, 177), (402, 167), (230, 264), (322, 259), (407, 262), (270, 311), (323, 313), (382, 308), (323, 357), (320, 398)
(253, 112), (392, 113), (254, 164), (310, 176), (340, 177), (400, 165), (232, 260), (322, 252), (405, 260), (269, 312), (322, 310), (381, 307), (323, 355), (323, 393)
(252, 111), (391, 113), (252, 163), (312, 173), (339, 173), (399, 162), (230, 259), (323, 251), (408, 259), (269, 306), (323, 309), (380, 301), (319, 352), (323, 393)
(252, 111), (394, 112), (255, 159), (308, 174), (340, 175), (396, 161), (231, 257), (321, 250), (407, 258), (265, 304), (319, 305), (381, 303), (321, 349), (324, 392)
(251, 109), (390, 109), (253, 160), (308, 169), (340, 171), (399, 161), (231, 258), (319, 247), (407, 255), (267, 303), (322, 303), (380, 300), (319, 348), (324, 390)
(253, 109), (390, 110), (251, 155), (310, 168), (340, 169), (398, 159), (231, 258), (318, 245), (406, 256), (266, 302), (320, 304), (380, 298), (320, 348), (322, 394)
(250, 108), (390, 110), (251, 154), (311, 167), (337, 169), (397, 159), (228, 254), (319, 245), (406, 253), (264, 300), (321, 298), (376, 299), (320, 352), (321, 396)
(250, 105), (390, 109), (251, 154), (306, 164), (339, 165), (396, 154), (231, 255), (313, 243), (408, 253), (266, 298), (319, 297), (377, 297), (317, 360), (322, 394)
(249, 103), (388, 106), (251, 151), (308, 159), (337, 163), (398, 155), (230, 254), (318, 237), (407, 250), (264, 297), (320, 291), (381, 293), (316, 361), (322, 398)
(249, 104), (389, 104), (250, 148), (308, 155), (337, 157), (395, 149), (228, 254), (318, 236), (406, 250), (262, 296), (319, 290), (378, 293), (315, 364), (320, 403)
(249, 101), (386, 101), (250, 143), (306, 151), (332, 150), (395, 148), (226, 249), (314, 230), (405, 248), (264, 293), (319, 286), (376, 292), (316, 366), (318, 404)
(246, 98), (385, 97), (252, 139), (305, 146), (332, 149), (394, 144), (227, 249), (317, 232), (405, 244), (261, 291), (314, 282), (379, 287), (315, 359), (317, 397)
(248, 97), (387, 101), (252, 137), (306, 143), (332, 142), (390, 143), (226, 247), (314, 227), (406, 241), (260, 288), (316, 280), (383, 281), (316, 355), (316, 389)
(250, 99), (388, 99), (251, 138), (306, 144), (337, 142), (396, 142), (225, 245), (316, 227), (405, 242), (263, 288), (320, 281), (377, 284), (318, 354), (316, 392)
(249, 98), (387, 99), (252, 139), (308, 141), (337, 143), (388, 142), (228, 246), (314, 228), (406, 243), (262, 287), (318, 281), (380, 285), (316, 356), (318, 388)
(249, 95), (388, 98), (251, 138), (311, 140), (339, 140), (393, 138), (229, 245), (318, 225), (405, 241), (264, 287), (319, 281), (378, 286), (316, 358), (317, 391)
(251, 96), (387, 96), (254, 136), (308, 140), (340, 141), (397, 140), (229, 246), (320, 226), (408, 242), (265, 288), (319, 280), (380, 285), (318, 355), (317, 395)
(252, 94), (389, 97), (256, 135), (309, 139), (336, 140), (391, 139), (229, 245), (315, 223), (407, 242), (263, 290), (318, 277), (379, 285), (317, 353), (317, 388)
(251, 91), (390, 93), (254, 133), (310, 137), (337, 138), (389, 136), (228, 245), (316, 226), (408, 239), (264, 288), (319, 281), (380, 286), (319, 343), (317, 380)
(250, 96), (389, 94), (254, 137), (308, 141), (335, 139), (396, 139), (230, 240), (316, 225), (410, 242), (263, 285), (318, 280), (378, 284), (316, 339), (322, 373)
(251, 93), (389, 93), (252, 137), (309, 141), (340, 140), (392, 137), (229, 242), (318, 224), (408, 241), (264, 286), (319, 280), (379, 281), (319, 337), (319, 374)
(250, 94), (388, 94), (255, 138), (309, 142), (339, 143), (392, 139), (229, 243), (317, 224), (406, 237), (264, 282), (317, 279), (380, 281), (320, 332), (321, 372)
(252, 94), (390, 98), (254, 137), (310, 141), (338, 143), (392, 139), (231, 241), (316, 225), (406, 234), (260, 283), (320, 277), (376, 278), (322, 328), (324, 366)
